Variable_Name,Name_Length,Code_Display,Code length,Code_Query,Variable_Order,Variable_Key,Description,Unit_or_type,Data_type,Data_length,Dataset,Subset,Group,SubGroup,Set_group_order,Hash_calc,Version_or_questions,Display_Label,Code_synon,DSSAT_group,DSSAT_order,MinVal,MaxVal,DSSAT_var,ICASA_standard,AgMIP_data_entry,AgMIP_rating,DSSAT_rating,APSIM_rating,CYCLES,,,,,,,,,,
experiment_ID,13,EID,3,EID,1,1,Experiment identifier,text,single,,EXPERIMENT,METADATA,GENERAL,,1011,0,,,,,,,,,1,-2,-1,,,,,,,,,,,,,
name_of_experiment,18,EXNAME,6,EXNAME,2,,Name of experiment,text,text,31,EXPERIMENT,METADATA,GENERAL,,1011,1,,,,,,1,,,1,,2,2,,,,,,,,,,,,
exp_code_local,14,LOCAL_ID,8,LOCAL_ID,3,,Locally used ID for experiment,text,text,,EXPERIMENT,METADATA,GENERAL,,1011,0,,,,,,,,,1,,0,,,,,,,,,,,,,
experiment_name_local,21,LOCAL_NAME,10,LOCAL_NAME,4,,Locally used name for experiment,text,text,31,EXPERIMENT,METADATA,GENERAL,,1011,0,,.,.,,,,,,1,,0,,,,,,,,,,,,,
objectives_of_study,19,OBJECTIVES,10,OBJECTIVES,5,,Objectives of the study,text,memo,,EXPERIMENT,METADATA,GENERAL,,1011,0,,.,.,,,,,,1,,0,,,,,,,,,,,,,
experiment_narrative,20,EXP_NARR,,EXP_NARR,,,"General description of experiment. Can include noteworthy events, findings, etc.",text,memo,,EXPERIMENT,METADATA,GENERAL,,1011,0,"2017-09-14, JWW",,,,,,,,2,,0,,,,,,,,,,,,,
main_experiment_factor,22,MAIN_FACTOR,11,MAIN_FACTOR,6,,"Main factor, factors or interactions of interest in an experiment",text,text,255,EXPERIMENT,METADATA,GENERAL,,1011,0,,,,,,,,,1,,0,,,,,,,,,,,,,
experimental_factor_comb,24,FACTORS,7,FACTORS,7,,Experimental factor combinations,text,text,255,EXPERIMENT,METADATA,GENERAL,,1011,0,,.,.,,,,,,1,,0,,,,,,,,,,,,,
number_of_replicates,20,REP_NO,10,REP_NO,8,,Number of blocks or replicates,number,,,EXPERIMENT,METADATA,GENERAL,,1011,0,,,,,,,,,1,,0,,,,,,,,,,,,,
number_of_treatments,20,TRT_COUNT,10,TRT_COUNT,8,,Number of treatments,number,,,EXPERIMENT,METADATA,GENERAL,,1011,0,"2023-03-22, CHP",,,,,,,,1,,0,,,,,,,,,,,,,
method_notes,12,METHODS,7,METHODS,8,,General notes on execution of experiment.,text,memo,,EXPERIMENT,METADATA,GENERAL,,1011,0,,.,.,,,,,,1,-2,0,,,,,,,,,,,,,
experiment_type,15,EXPER_TYPE,10,EXPER_TYPE,9,,"General type of experiment, e.g., varietal trial",code,text,,EXPERIMENT,METADATA,GENERAL,,1011,0,,,,,,,,,1,,0,,,,,,,,,,,,,
experimental_design,,EXPER_DESIGN,,EXPER_DESIGN,,,Experimental design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
site_name,9,SITE_NAME,10,SITE_NAME,9,,Name of site for experiment,text,text,,EXPERIMENT,METADATA,GENERAL,,1011,0,,,,,,,,,1,,0,,,,,,,,,,,,,
site_type,9,SITE_TYPE,9,SITE_TYPE,10,,"Type of site, e.g., station, on-farm",code,text,,EXPERIMENT,METADATA,GENERAL,,1011,0,,,,,,,,,1,,0,,,,,,,,,,,,,
management_type,15,MGMT_TYPE,9,MGMT_TYPE,11,,"Whether managed by researchers, producers",code,text,,EXPERIMENT,METADATA,GENERAL,,1011,0,,,,,,,,,1,,0,,,,,,,,,,,,,
experiment_year,15,EXP_YEAR,7,EXP_YEAR,12,,Year associated with experiment or crop rotation,date[yyyy],single,,EXPERIMENT,METADATA,GENERAL,,1011,0,"2020-06-09, CHP",,,,,,,,1,,0,,,,,,,,,,,,,
experiment_duration,19,EXP_DUR,7,EXP_DUR,12,,Duration of experiment in years,year,single,,EXPERIMENT,METADATA,GENERAL,,1011,0,,,,,,,,,1,,0,,,,,,,,,,,,,
exper_duration_seasons,22,EXP_DUR_SEAS,7,EXP_DUR_SEAS,12,,Duration of experiment in seasons,number,single,,EXPERIMENT,METADATA,GENERAL,,1011,0,"2020-12-03, CHP",,,,,,,,1,,0,,,,,,,,,,,,,
anonymization,,ANONYMIZ,,ANONYMIZ,,,"Indication of whether location should be anonymized (N= anonymize names, L = anonymize locations, NL or LN  = anonymize both names and location)",text,text,,EXPERIMENT,METADATA,GENERAL,,1011,0,"2023-03-06, CHP",,,,,,,,,,,,,,,,,,,,,,,
rotation,8,ROTATION,9,ROTATION,13,,"Crop rotation indicator (=1 for continuous, multi-year simulation, =0 for single year simulations with multiple initializations)",code,text,1,EXPERIMENT,METADATA,GENERAL,,1011,1,,,,,,,,,1,,0,,,,,,,,,,,,,
cropping_system,15,CR_SYSTEM,9,CR_SYSTEM,13,,Cropping system descriptive name,text,text,60,EXPERIMENT,METADATA,GENERAL,,1011,0,,,,,,,,,1,,0,,,,,,,,,,,,,
ex_license,10,ex_license,10,ex_license,21,,Data license name and url,text,memo,,EXPERIMENT,METADATA,GENERAL,,1011,0,"2015-11-24, CHP",.,.,,,,,,1,-1,0,,,,,,,,,,,,,
distrib_restrictions,20,EX_DISTRIB,10,EX_DISTRIB,21,,Distribution limitations for the data set,text,memo,,EXPERIMENT,METADATA,GENERAL,,1011,0,"2013-02-14, CHP",.,.,,,,,,1,-1,0,,,,,,,,,,,,,
ex_funding_source,17,ex_funding_source,17,ex_funding_source,21,,Funding source(s) for this data set,text,memo,,EXPERIMENT,METADATA,GENERAL,,1011,0,"2015-11-24, CHP",.,.,,,,,,1,-1,0,,,,,,,,,,,,,
file_version,12,VERSION,7,VERSION,31,,File version for ICASA standard,text,text,78,EXPERIMENT,METADATA,GENERAL,,1011,0,,.,.,,,,,,1,-1,0,,,,,,,,,,,,,
revision_date_first,19,REV_DATE_FIRST,14,REV_DATE_FIRST,32,,Date the file was first created,date,,,EXPERIMENT,METADATA,GENERAL,,1011,0,,.,.,,,,,,1,-1,0,,,,,,,,,,,,,
revision_date_latest,20,REV_DATE_LATEST,15,REV_DATE_LATEST,33,,Date the file was last revised,date,,,EXPERIMENT,METADATA,GENERAL,,1011,0,,.,.,,,,,,1,-1,0,,,,,,,,,,,,,
revision_notes,14,REVISION_NOTES,14,REVISION_NOTES,34,,Notes describing reasons for the revision,text,memo,,EXPERIMENT,METADATA,GENERAL,,1011,0,,,,,,,,,1,-1,0,,,,,,,,,,,,,
AgMIP_date_rated,16,AGMIP_DATE,10,AGMIP_DATE,1,,Date of AgMIP rating,date,,,EXPERIMENT,METADATA,GENERAL,AGMIP,1012,0,,,,,,,,,2,-2,0,,,,,,,,,,,,,
